TS:  64, skip: 1, model: BiLSTM, sensor: RR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.52920008, f1: 0.48110657, precision: 0.48113333, recall: 0.48108380 
TS:  64, skip: 1, model: TCN  , sensor: GSR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.60045240, f1: 0.53420213, precision: 0.53982873, recall: 0.53513823 
TS:  64, skip: 1, model: LSTM , sensor: GSR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65144972, f1: 0.39447142, precision: 0.32629519, recall: 0.49866205 
TS:  64, skip: 1, model: BiLSTM, sensor: GSR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.56703681, f1: 0.47330324, precision: 0.47851810, recall: 0.48313722 
TS:  64, skip: 1, model: TCN  , sensor: Temp_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.59469463, f1: 0.53826872, precision: 0.54082171, recall: 0.53810136 
TS:  64, skip: 1, model: LSTM , sensor: Temp_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65319761, f1: 0.39511164, precision: 0.32659881, recall: 0.50000000 
TS:  64, skip: 1, model: BiLSTM, sensor: Temp_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65319761, f1: 0.39511164, precision: 0.32659881, recall: 0.50000000 
TS:   8, skip: 1, model: TCN+LSTM, sensor: All_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.52152893, f1: 0.51953249, precision: 0.54804529, recall: 0.54522461 
TS:   8, skip: 1, model: TCN+LSTM, sensor: HR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57878834, f1: 0.36660287, precision: 0.28939417, recall: 0.50000000 
TS:   8, skip: 1, model: TCN+LSTM, sensor: RR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57878834, f1: 0.36660287, precision: 0.28939417, recall: 0.50000000 
TS:   8, skip: 1, model: TCN+LSTM, sensor: GSR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57873798, f1: 0.38657161, precision: 0.53948823, recall: 0.50303252 
TS:   8, skip: 1, model: TCN+LSTM, sensor: Temp_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.55401118, f1: 0.52572964, precision: 0.53138110, recall: 0.52865839 
TS:  16, skip: 1, model: TCN+LSTM, sensor: All_frame16_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57969822, f1: 0.44402477, precision: 0.53081054, recall: 0.51049490 
TS:  16, skip: 1, model: TCN+LSTM, sensor: HR_frame16_skip1, classes: 2, BatchSize: 256, Accuracy: 0.58496571, f1: 0.36907152, precision: 0.29248285, recall: 0.50000000 
TS:  16, skip: 1, model: TCN+LSTM, sensor: RR_frame16_skip1, classes: 2, BatchSize: 256, Accuracy: 0.58496571, f1: 0.36907152, precision: 0.29248285, recall: 0.50000000 
