TS:  30, skip: 1, cv: 1, model: TCN+LSTM, sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.62612613, Accuracy: 0.64676617, f1: 0.64323392, precision: 0.64789377, recall: 0.64408208 
TS:  30, skip: 1, cv: 2, model: TCN  , sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.52073733, Accuracy: 0.48258706, f1: 0.48247178, precision: 0.48364486, recall: 0.48369350 
TS:  30, skip: 1, cv: 2, model: LSTM , sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.53917051, Accuracy: 0.52736318, f1: 0.45325698, precision: 0.52982456, recall: 0.51516653 
TS:  30, skip: 1, cv: 2, model: BiLSTM, sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.55299539, Accuracy: 0.51741294, f1: 0.50920076, precision: 0.51422764, recall: 0.51353093 
TS:  30, skip: 1, cv: 2, model: TCN+LSTM, sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.49769585, Accuracy: 0.49253731, f1: 0.48321234, precision: 0.49760087, recall: 0.49781919 
TS:  30, skip: 1, cv: 2, model: TCN  , sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.64516129, Accuracy: 0.63184080, f1: 0.63029429, precision: 0.63843101, recall: 0.63486320 
TS:  30, skip: 1, cv: 2, model: LSTM , sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.58986175, Accuracy: 0.58706468, f1: 0.58109228, precision: 0.59926156, recall: 0.59194092 
TS:  30, skip: 1, cv: 2, model: BiLSTM, sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.64055300, Accuracy: 0.65671642, f1: 0.65641026, precision: 0.65979021, recall: 0.65855472 
TS:  30, skip: 1, cv: 2, model: TCN+LSTM, sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.55760369, Accuracy: 0.64179104, f1: 0.63616251, precision: 0.64468769, recall: 0.63823354 
TS:  30, skip: 1, cv: 2, model: TCN  , sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.52995392, Accuracy: 0.50746269, f1: 0.46914766, precision: 0.52590521, recall: 0.51744647 
TS:  30, skip: 1, cv: 2, model: LSTM , sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.54377880, Accuracy: 0.46268657, f1: 0.46267327, precision: 0.46339286, recall: 0.46342189 
TS:  30, skip: 1, cv: 2, model: BiLSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.54377880, Accuracy: 0.50248756, f1: 0.49970131, precision: 0.50589260, recall: 0.50569984 
TS:  30, skip: 1, cv: 2, model: TCN+LSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.51612903, Accuracy: 0.59203980, f1: 0.58336704, precision: 0.60907784, recall: 0.59778945 
TS:  30, skip: 1, cv: 2, model: TCN  , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.58986175, Accuracy: 0.52238806, f1: 0.52237624, precision: 0.52283535, recall: 0.52284893 
TS:  30, skip: 1, cv: 2, model: LSTM , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.56221198, Accuracy: 0.53233831, f1: 0.53177042, precision: 0.53453453, recall: 0.53419905 
TS:  30, skip: 1, cv: 2, model: BiLSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.60368664, Accuracy: 0.50746269, f1: 0.50253744, precision: 0.50473138, recall: 0.50460944 
TS:  30, skip: 1, cv: 2, model: TCN+LSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.59447005, Accuracy: 0.58208955, f1: 0.56574074, precision: 0.58676471, recall: 0.57603093 
TS:  30, skip: 1, cv: 2, model: TCN  , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.61290323, Accuracy: 0.58706468, f1: 0.58443144, precision: 0.59398148, recall: 0.59055313 
TS:  30, skip: 1, cv: 2, model: LSTM , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.60368664, Accuracy: 0.63681592, f1: 0.63504539, precision: 0.64422095, recall: 0.64001784 
TS:  30, skip: 1, cv: 2, model: BiLSTM, sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.63594470, Accuracy: 0.53233831, f1: 0.53093347, precision: 0.53121266, recall: 0.53107653 
TS:  30, skip: 1, cv: 2, model: TCN+LSTM, sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.59907834, Accuracy: 0.62686567, f1: 0.59297459, precision: 0.66633941, recall: 0.61756542 
